"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49892.028612,
"CAN","GDP","TOT","USD_CAP","A","2019",49286.811601,
"CAN","GDP","TOT","USD_CAP","A","2020",46572.141022,
"CAN","GDP","TOT","USD_CAP","A","2021",52021.596768,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",48700.802342,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",46713.800171,"P"
"FRA","GDP","TOT","USD_CAP","A","2021",50543.711372,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",55651.435768,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",55461.202156,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58385.796698,"P"
"ITA","GDP","TOT","USD_CAP","A","2017",41951.466331,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",44376.537527,
"ITA","GDP","TOT","USD_CAP","A","2020",42088.117104,
"ITA","GDP","TOT","USD_CAP","A","2021",46073.227655,
"JPN","GDP","TOT","USD_CAP","A","2017",41531.221619,
"JPN","GDP","TOT","USD_CAP","A","2018",42239.050068,
"JPN","GDP","TOT","USD_CAP","A","2019",42438.755946,
"JPN","GDP","TOT","USD_CAP","A","2020",42285.325693,
"JPN","GDP","TOT","USD_CAP","A","2021",43031.951619,"E"
"GBR","GDP","TOT","USD_CAP","A","2017",46117.225681,
"GBR","GDP","TOT","USD_CAP","A","2018",47219.464771,
"GBR","GDP","TOT","USD_CAP","A","2019",48701.862254,
"GBR","GDP","TOT","USD_CAP","A","2020",45644.388606,
"GBR","GDP","TOT","USD_CAP","A","2021",48662.715604,
"USA","GDP","TOT","USD_CAP","A","2017",59889.613185,
"USA","GDP","TOT","USD_CAP","A","2018",62802.149571,
"USA","GDP","TOT","USD_CAP","A","2019",65081.408834,
"USA","GDP","TOT","USD_CAP","A","2020",63790.314764,
"USA","GDP","TOT","USD_CAP","A","2021",70523.380147,"E"
"OECD","GDP","TOT","USD_CAP","A","2017",43471.361794,
"OECD","GDP","TOT","USD_CAP","A","2018",45173.111932,
"OECD","GDP","TOT","USD_CAP","A","2019",46090.558652,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45170.303219,"E"
"OECD","GDP","TOT","USD_CAP","A","2021",49028.420836,"E"
"BRA","GDP","TOT","USD_CAP","A","2017",14596.889676,
"BRA","GDP","TOT","USD_CAP","A","2018",15088.873591,
"BRA","GDP","TOT","USD_CAP","A","2019",15424.038754,
